ProductID,ProductName,Category,SubCategory,Cost,ListPrice
PROD00001,Signature Menswear Pack 350,Apparel,Menswear,203.22,456.07
PROD00002,Lite Outerwear Series 130,Apparel,Outerwear,87.04,136.14
PROD00003,Smart Accessories Collection 529,Electronics,Accessories,200.74,410.62
PROD00004,Signature Phones Bundle 448,Electronics,Phones,252.25,388.63
PROD00005,Ultra Beverages Bundle 199,Grocery,Beverages,325,557.16
PROD00006,Signature Stationery Unit 649,Office,Stationery,114.97,286.86
PROD00007,Classic Outerwear Line 982,Apparel,Outerwear,327.39,494.22
PROD00008,Essential Menswear Kit 891,Apparel,Menswear,262.58,356.51
PROD00009,Lite Fitness Pack 564,Sports,Fitness,573.21,998.83
PROD00010,Smart Pantry Pack 818,Grocery,Pantry,843.18,1791.63
PROD00011,Signature Lighting Kit 267,Home & Garden,Lighting,417.65,674.27
PROD00012,Pro Team Sports Kit 941,Sports,Team Sports,31.79,53.28
PROD00013,Smart Stationery Line 997,Office,Stationery,646.97,994.42
PROD00014,Essential Technical Unit 246,Books,Technical,240.6,380.86
PROD00015,Lite Supplies Line 508,Office,Supplies,327.71,850.86
PROD00016,Max Lighting Edition 873,Home & Garden,Lighting,45.26,63.27
PROD00017,Deluxe Tools Edition 494,Home & Garden,Tools,345.31,896
PROD00018,Pro Supplies Edition 798,Office,Supplies,796.66,1803.39
PROD00019,Classic Beverages Bundle 261,Grocery,Beverages,409.99,1040.41
PROD00020,Eco Supplies Collection 208,Office,Supplies,783.86,1295.64
PROD00021,Premium Cycling Model 652,Sports,Cycling,858.29,2141.68
PROD00022,Premium Accessories Unit 119,Electronics,Accessories,103.35,179.83
PROD00023,Pro Printers Kit 999,Office,Printers,511.92,694.33
PROD00024,Compact Fiction Model 231,Books,Fiction,594.8,1503.8
PROD00025,Compact Decor Line 533,Home & Garden,Decor,868.03,2173.58
PROD00026,Lite Team Sports Set 548,Sports,Team Sports,809.95,1506.11
PROD00027,Ultra Cycling Set 121,Sports,Cycling,530.71,828.26
PROD00028,Ultra Fitness Series 334,Sports,Fitness,63.46,82.02
PROD00029,Compact Beverages Kit 385,Grocery,Beverages,603.07,928.26
PROD00030,Deluxe Lighting Unit 348,Home & Garden,Lighting,706.8,1654
PROD00031,Ultra Fitness Bundle 462,Sports,Fitness,382.95,720.13
PROD00032,Pro Laptops Bundle 845,Electronics,Laptops,307.35,741.71
PROD00033,Smart Cycling Collection 559,Sports,Cycling,128.74,192.82
PROD00034,Ultra Non-Fiction Unit 927,Books,Non-Fiction,775.63,1545.78
PROD00035,Pro Accessories Edition 871,Electronics,Accessories,764.28,1126.95
PROD00036,Smart Technical Bundle 160,Books,Technical,150.68,188.79
PROD00037,Max Outdoor Pack 533,Toys,Outdoor,627.84,1403.96
PROD00038,Smart Non-Fiction Pack 322,Books,Non-Fiction,871.93,1771.67
PROD00039,Pro Audio Series 698,Electronics,Audio,430.68,1072.9
PROD00040,Compact Furniture Edition 971,Home & Garden,Furniture,169.68,348.4
PROD00041,Ultra Outdoor Line 352,Sports,Outdoor,522.29,680.88
PROD00042,Essential Activewear Line 678,Apparel,Activewear,471.94,1185.44
PROD00043,Smart Team Sports Pack 505,Sports,Team Sports,120.4,255.42
PROD00044,Ultra Children Series 569,Books,Children,560.18,1125.99
PROD00045,Compact Menswear Kit 618,Apparel,Menswear,240.88,604.58
PROD00046,Premium Womenswear Pack 261,Apparel,Womenswear,396.05,785.5
PROD00047,Essential Supplies Collection 108,Office,Supplies,602.07,1203.37
PROD00048,Classic Womenswear Edition 209,Apparel,Womenswear,668.95,976.57
PROD00049,Smart Supplies Set 308,Office,Supplies,619.68,1488.12
PROD00050,Pro Children Edition 749,Books,Children,382.95,621.73
PROD00051,Eco Audio Pack 265,Electronics,Audio,667.88,1332.27
PROD00052,Pro Plush Edition 177,Toys,Plush,850.71,1856.99
PROD00053,Pro Lighting Set 696,Home & Garden,Lighting,498.62,912.58
PROD00054,Premium Audio Series 466,Electronics,Audio,191.44,303.79
PROD00055,Compact Footwear Bundle 735,Apparel,Footwear,675.28,1688.05
PROD00056,Eco Cycling Bundle 125,Sports,Cycling,163.89,409.41
PROD00057,Classic Games Model 906,Toys,Games,632.05,1116.47
PROD00058,Smart Cameras Kit 936,Electronics,Cameras,826.85,1423.87
PROD00059,Pro Cycling Kit 508,Sports,Cycling,297.45,718.9
PROD00060,Essential Furniture Collection 509,Office,Furniture,612.53,1463.3
PROD00061,Ultra Beverages Pack 282,Grocery,Beverages,523.79,1350.22
PROD00062,Deluxe Laptops Bundle 453,Electronics,Laptops,656.5,1098.63
PROD00063,Deluxe Activewear Kit 360,Apparel,Activewear,42.81,78.71
PROD00064,Lite Team Sports Edition 780,Sports,Team Sports,828.93,1733.51
PROD00065,Compact Footwear Pack 782,Apparel,Footwear,369.33,662.3
PROD00066,Eco Supplies Kit 530,Office,Supplies,599.44,1056.12
PROD00067,Deluxe Lighting Pack 515,Home & Garden,Lighting,494.5,618.4
PROD00068,Lite Printers Line 721,Office,Printers,590.27,1108.37
PROD00069,Compact Non-Fiction Unit 912,Books,Non-Fiction,811.36,1886.11
PROD00070,Classic Furniture Collection 779,Home & Garden,Furniture,570.75,971.7
PROD00071,Smart Team Sports Kit 250,Sports,Team Sports,24.91,39.37
PROD00072,Ultra Reference Unit 524,Books,Reference,797.86,1617.39
PROD00073,Lite Building Kit 251,Toys,Building,591.48,743.78
PROD00074,Smart Activewear Model 923,Apparel,Activewear,862.3,1680.83
PROD00075,Smart Accessories Edition 567,Electronics,Accessories,122.61,230.17
PROD00076,Deluxe Frozen Collection 536,Grocery,Frozen,748.02,1488.28
PROD00077,Max Tools Pack 869,Home & Garden,Tools,224.77,474.45
PROD00078,Classic Non-Fiction Unit 179,Books,Non-Fiction,643.05,1007.38
PROD00079,Compact Pantry Edition 241,Grocery,Pantry,138.3,244.39
PROD00080,Ultra Kitchen Bundle 517,Home & Garden,Kitchen,299.8,563.32
PROD00081,Lite Phones Bundle 888,Electronics,Phones,526.92,1153.4
PROD00082,Pro Building Set 405,Toys,Building,678.87,1630.75
PROD00083,Signature Plush Collection 919,Toys,Plush,544.12,842.15
PROD00084,Lite Team Sports Unit 129,Sports,Team Sports,351.8,757.42
PROD00085,Max Games Model 737,Toys,Games,482.11,1192.91
PROD00086,Essential Laptops Bundle 238,Electronics,Laptops,780.57,1167.21
PROD00087,Premium Storage Kit 565,Office,Storage,296.18,674.6
PROD00088,Lite Outdoor Pack 954,Toys,Outdoor,76.47,97.59
PROD00089,Smart Audio Edition 899,Electronics,Audio,861.69,1123.94
PROD00090,Smart Phones Series 736,Electronics,Phones,139.69,198.42
PROD00091,Smart Outerwear Unit 816,Apparel,Outerwear,232.85,407.02
PROD00092,Classic Womenswear Edition 692,Apparel,Womenswear,26.03,43.5
PROD00093,Signature Building Kit 177,Toys,Building,534.11,1266.52
PROD00094,Signature Fitness Pack 970,Sports,Fitness,616.78,1441.7
